
K. Chengalaraya Reddy,25 October 1947,30 March 1952,
K. Hanumanthaiah,30 March 1952,19 August 1956,
Kadidal Manjappa,19 August 1956,31 October 1956,

S. Nijalingappa,1 November 1956,16 May 1958,

B. D. Jatti,16 May 1958,9 March 1962,
S. R. Kanthi,14 March 1962,20 June 1962,
S. Nijalingappa,21 June 1962,28 May 1968,

Veerendra Patil,29 May 1968,18 March 1971,
Vacant[b] (President's rule),19 March 1971,20 March 1972,

D. Devaraj Urs,20 March 1972,31 December 1977,
Vacant[b] (President's rule),31 December 1977,28 February 1978,
D. Devaraj Urs,28 February 1978,7 January 1980,
R. Gundu Rao,12 January 1980,6 January 1983,
Ramakrishna Hegde,10 January 1983,29 December 1984[c],
Ramakrishna Hegde,8 March 1985,13 February 1986[d],
Ramakrishna Hegde,16 February 1986,10 August 1988,
S. R. Bommai,13 August 1988,21 April 1989,
Vacant[b] (President's rule),21 April 1989,30 November 1989,
Veerendra Patil,30 November 1989,10 October 1990,
Vacant[b] (President's rule),10 October 1990,17 October 1990,
S. Bangarappa,17 October 1990,19 November 1992,
M. Veerappa Moily,19 November 1992,11 December 1994,
H. D. Deve Gowda,11 December 1994,31 May 1996,
J. H. Patel,31 May 1996,7 October 1999,
S. M. Krishna,11 October 1999,28 May 2004,
Dharam Singh,28 May 2004,28 January 2006,
H. D. Kumaraswamy,3 February 2006,8 October 2007,
Vacant[b] (President's rule),9 October 2007,11 November 2007,
B. S. Yeddyurappa,12 November 2007,19 November 2007,
Vacant[b] (President's rule),20 November 2007,27 May 2008,
B. S. Yeddyurappa,30 May 2008,31 July 2011,
D. V. Sadananda Gowda,4 August 2011,12 July 2012,
Jagadish Shettar,12 July 2012,12 May 2013,
Siddaramaiah,13 May 2013,present (50000000000000000000?years, 7002200000000000000200?days),
